sensor_id,fixture_id,zone_id,facility_id,timestamp,sensor_type,value,unit,diagnostic_status,quality_flag,metadata
airport_terminal-terminal-a-restroom-a1-faucet-01-flow,airport_terminal-terminal-a-restroom-a1-faucet-01,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,flow_meter,0.012,L_per_min,ok,valid,"{'fixture_type': 'faucet', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-faucet-01-diag,airport_terminal-terminal-a-restroom-a1-faucet-01,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,diagnostic,0.0,status_code,ok,valid,"{'fixture_type': 'faucet', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-faucet-02-flow,airport_terminal-terminal-a-restroom-a1-faucet-02,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,flow_meter,0.0,L_per_min,ok,valid,"{'fixture_type': 'faucet', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-faucet-02-diag,airport_terminal-terminal-a-restroom-a1-faucet-02,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,diagnostic,0.0,status_code,ok,valid,"{'fixture_type': 'faucet', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-faucet-03-flow,airport_terminal-terminal-a-restroom-a1-faucet-03,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,flow_meter,0.0,L_per_min,ok,valid,"{'fixture_type': 'faucet', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-faucet-03-diag,airport_terminal-terminal-a-restroom-a1-faucet-03,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,diagnostic,0.0,status_code,ok,valid,"{'fixture_type': 'faucet', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-faucet-04-flow,airport_terminal-terminal-a-restroom-a1-faucet-04,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,flow_meter,3.335,L_per_min,ok,valid,"{'fixture_type': 'faucet', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-faucet-04-diag,airport_terminal-terminal-a-restroom-a1-faucet-04,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,diagnostic,0.0,status_code,ok,valid,"{'fixture_type': 'faucet', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-flush-valve-01-flow,airport_terminal-terminal-a-restroom-a1-flush-valve-01,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,flow_meter,0.0,L_per_min,ok,valid,"{'fixture_type': 'flush_valve', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
airport_terminal-terminal-a-restroom-a1-flush-valve-01-diag,airport_terminal-terminal-a-restroom-a1-flush-valve-01,airport_terminal-terminal-a-restroom-a1,airport_terminal,2026-01-06T00:00:00+00:00,diagnostic,0.0,status_code,ok,valid,"{'fixture_type': 'flush_valve', 'zone_type': 'restroom_airside', 'occupancy': 6, 'faults': []}"
